Campaign_ID,Campaign_Name,Channel,Campaign_Type,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions,Cost,Revenue,CTR,Conversion_Rate,CPC,CPA,ROAS,Profit
CAMP_001,Google_Brand_Awareness_001,Google Ads,Brand Awareness,2024-05-05,2024-06-16,19055.66,112792,5916,198,12564.66,68080.65,0.0525,0.0336,2.1238,63.46,5.4184,55515.99
CAMP_002,Google_Product_Launch_002,Google Ads,Product Launch,2024-08-04,2024-08-22,3999.59,63408,2630,85,6810.66,32786.16,0.0415,0.0327,2.5896,80.13,4.8139,25975.5
CAMP_003,Facebook_Lead_Generation_003,Facebook Ads,Lead Generation,2024-01-14,2024-04-08,13623.17,139476,2832,68,2873.44,7970.89,0.0203,0.0243,1.0146,42.26,2.774,5097.45
CAMP_004,SEO_Seasonal_Promo_004,SEO Organic,Seasonal Promo,2024-10-28,2024-12-16,7070.13,414243,26859,289,2.69,14.32,0.0648,0.0108,0.0001,0.01,5.3253,11.63
CAMP_005,Google_Lead_Generation_005,Google Ads,Lead Generation,2024-06-23,2024-08-11,18057.21,119965,3575,136,4811.91,14773.32,0.0298,0.0381,1.346,35.38,3.0702,9961.41
CAMP_006,Instagram_Brand_Awareness_006,Instagram Ads,Brand Awareness,2024-02-19,2024-04-18,4133.15,431372,20528,337,23065.98,44866.82,0.0476,0.0164,1.1236,68.45,1.9452,21800.84
CAMP_007,SEO_Retargeting_007,SEO Organic,Retargeting,2024-08-23,2024-11-13,20563.95,106171,5214,151,0.52,3.35,0.0491,0.029,0.0001,0.0,6.4508,2.83
CAMP_008,Email_Brand_Awareness_008,Email,Brand Awareness,2024-11-17,2024-12-31,14696.93,309808,48322,2446,1834.59,20691.27,0.156,0.0506,0.038,0.75,11.2784,18856.68
CAMP_009,Google_Brand_Awareness_009,Google Ads,Brand Awareness,2024-05-28,2024-06-21,17209.06,434892,19482,475,43080.01,138860.88,0.0448,0.0244,2.2113,90.69,3.2233,95780.87
CAMP_010,Google_Seasonal_Promo_010,Google Ads,Seasonal Promo,2024-11-21,2024-12-31,8393.39,123194,5929,91,6734.79,29346.77,0.0481,0.0154,1.1359,74.01,4.3575,22611.98
CAMP_011,Instagram_Lead_Generation_011,Instagram Ads,Lead Generation,2024-11-27,2024-12-20,17414.03,324108,12595,241,13344.69,34954.25,0.0389,0.0192,1.0595,55.37,2.6193,21609.56
CAMP_012,Facebook_Product_Launch_012,Facebook Ads,Product Launch,2024-03-24,2024-06-05,18769.92,220754,2254,32,2289.49,8791.61,0.0102,0.0142,1.0157,71.55,3.84,6502.12
CAMP_013,SEO_Lead_Generation_013,SEO Organic,Lead Generation,2024-01-29,2024-03-12,17746.13,419811,28073,340,2.81,15.56,0.0669,0.0121,0.0001,0.01,5.5379,12.75
CAMP_014,Instagram_Seasonal_Promo_014,Instagram Ads,Seasonal Promo,2024-04-18,2024-07-13,8158.04,444365,9721,216,14200.92,47697.6,0.0219,0.0223,1.4608,65.75,3.3588,33496.68
CAMP_015,Instagram_Lead_Generation_015,Instagram Ads,Lead Generation,2024-07-21,2024-10-01,17075.09,114292,2277,36,2768.7,9372.96,0.0199,0.0158,1.2159,76.91,3.3853,6604.26
CAMP_016,Facebook_Lead_Generation_016,Facebook Ads,Lead Generation,2024-10-02,2024-11-18,19134.75,386156,7803,144,5910.51,13373.45,0.0202,0.0185,0.7575,41.05,2.2627,7462.94
CAMP_017,Email_Product_Launch_017,Email,Product Launch,2024-04-22,2024-05-23,11186.21,279286,59348,4471,2881.93,28834.57,0.2125,0.0753,0.0486,0.64,10.0053,25952.64
CAMP_018,Google_Brand_Awareness_018,Google Ads,Brand Awareness,2024-03-19,2024-04-22,21805.37,406435,20494,585,40592.42,220434.27,0.0504,0.0285,1.9807,69.39,5.4304,179841.85
CAMP_019,Email_Product_Launch_019,Email,Product Launch,2024-07-14,2024-10-12,3461.14,498254,88971,6981,8.9,86.62,0.1786,0.0785,0.0001,0.0,9.7329,77.72
CAMP_020,SEO_Retargeting_020,SEO Organic,Retargeting,2024-01-06,2024-02-03,24334.8,356769,22027,557,2.2,7.95,0.0617,0.0253,0.0001,0.0,3.6149,5.75
CAMP_021,SEO_Retargeting_021,SEO Organic,Retargeting,2024-06-23,2024-07-21,19677.77,182075,10124,316,1.01,5.43,0.0556,0.0312,0.0001,0.0,5.3781,4.42
CAMP_022,Facebook_Seasonal_Promo_022,Facebook Ads,Seasonal Promo,2024-05-14,2024-07-31,2074.64,392882,6645,106,10407.14,34657.09,0.0169,0.016,1.5662,98.18,3.3301,24249.95
CAMP_023,SEO_Brand_Awareness_023,SEO Organic,Brand Awareness,2024-06-01,2024-08-18,22021.93,324036,16008,522,1.6,11.46,0.0494,0.0326,0.0001,0.0,7.1624,9.86
CAMP_024,Facebook_Retargeting_024,Facebook Ads,Retargeting,2024-10-03,2024-12-23,19537.75,463322,8330,144,8689.5,18035.4,0.018,0.0174,1.0432,60.34,2.0755,9345.9
CAMP_025,SEO_Retargeting_025,SEO Organic,Retargeting,2024-02-27,2024-04-27,13237.93,445424,29363,891,2.94,16.81,0.0659,0.0303,0.0001,0.0,5.7185,13.87
CAMP_026,Instagram_Lead_Generation_026,Instagram Ads,Lead Generation,2024-10-17,2024-11-10,3332.28,88544,1152,17,1129.02,2617.78,0.013,0.0151,0.98,66.41,2.3186,1488.76
CAMP_027,Email_Brand_Awareness_027,Email,Brand Awareness,2024-09-29,2024-10-29,24493.64,107776,18704,1142,1640.78,14376.3,0.1735,0.0611,0.0877,1.44,8.7619,12735.52
CAMP_028,Email_Product_Launch_028,Email,Product Launch,2024-09-27,2024-12-04,5797.92,483963,92099,4962,1070.61,9057.61,0.1903,0.0539,0.0116,0.22,8.4602,7987.0
CAMP_029,SEO_Lead_Generation_029,SEO Organic,Lead Generation,2024-07-23,2024-09-22,18397.83,247145,15126,758,1.51,9.61,0.0612,0.0502,0.0001,0.0,6.3619,8.1
CAMP_030,SEO_Seasonal_Promo_030,SEO Organic,Seasonal Promo,2024-04-25,2024-05-17,4783.1,202138,11987,209,1.2,8.28,0.0593,0.0175,0.0001,0.01,6.9023,7.08
CAMP_031,SEO_Product_Launch_031,SEO Organic,Product Launch,2024-04-22,2024-05-06,7292.64,81946,6213,123,0.62,2.68,0.0758,0.0198,0.0001,0.01,4.3178,2.06
CAMP_032,Google_Lead_Generation_032,Google Ads,Lead Generation,2024-01-17,2024-03-13,3550.21,81885,4405,250,5747.34,21535.06,0.0538,0.0569,1.3047,22.99,3.747,15787.72
CAMP_033,Facebook_Retargeting_033,Facebook Ads,Retargeting,2024-04-19,2024-07-11,17386.49,109540,2847,45,1650.5,5195.76,0.026,0.016,0.5797,36.68,3.148,3545.26
CAMP_034,SEO_Product_Launch_034,SEO Organic,Product Launch,2024-08-30,2024-11-04,12871.43,135684,5258,169,0.53,4.17,0.0388,0.0323,0.0001,0.0,7.8599,3.64
CAMP_035,Google_Seasonal_Promo_035,Google Ads,Seasonal Promo,2024-07-29,2024-10-10,10148.84,438726,14588,463,32192.19,103507.82,0.0333,0.0318,2.2068,69.53,3.2153,71315.63
CAMP_036,Google_Brand_Awareness_036,Google Ads,Brand Awareness,2024-06-22,2024-07-19,3394.09,161895,7837,376,7807.68,33945.51,0.0484,0.0481,0.9963,20.77,4.3477,26137.83
CAMP_037,Facebook_Product_Launch_037,Facebook Ads,Product Launch,2024-08-04,2024-09-10,12318.11,175345,4839,127,3412.56,7424.64,0.0276,0.0263,0.7052,26.87,2.1757,4012.08
CAMP_038,Facebook_Brand_Awareness_038,Facebook Ads,Brand Awareness,2024-10-08,2024-11-03,12192.01,72764,2198,49,2857.83,9552.34,0.0302,0.0224,1.3002,58.32,3.3425,6694.51
CAMP_039,SEO_Brand_Awareness_039,SEO Organic,Brand Awareness,2024-05-01,2024-06-05,24286.91,232886,10805,325,1.08,5.55,0.0464,0.0301,0.0001,0.0,5.1428,4.47
CAMP_040,Email_Lead_Generation_040,Email,Lead Generation,2024-01-31,2024-03-06,21886.96,220537,56155,3487,1469.8,13940.8,0.2546,0.0621,0.0262,0.42,9.4848,12471.0
CAMP_041,Email_Retargeting_041,Email,Retargeting,2024-08-20,2024-10-09,23309.92,240353,33892,2264,2479.94,18026.63,0.141,0.0668,0.0732,1.1,7.269,15546.69
CAMP_042,SEO_Seasonal_Promo_042,SEO Organic,Seasonal Promo,2024-05-31,2024-07-11,5560.33,485919,38517,1221,3.85,31.86,0.0793,0.0317,0.0001,0.0,8.2762,28.01
CAMP_043,SEO_Product_Launch_043,SEO Organic,Product Launch,2024-06-09,2024-06-30,3402.02,72564,3997,84,0.4,2.01,0.0551,0.0212,0.0001,0.0,5.021,1.61
