Date,Campaign_ID,Channel,Impressions,Clicks,Conversions,Cost,Revenue,Month,Week
2024-05-05,CAMP_001,Google Ads,3293,172,5,366.9,1987.99,May,18
2024-05-06,CAMP_001,Google Ads,3073,161,5,342.38,1855.13,May,19
2024-05-07,CAMP_001,Google Ads,3002,157,5,334.52,1812.58,May,19
2024-05-08,CAMP_001,Google Ads,3011,157,5,335.5,1817.9,May,19
2024-05-09,CAMP_001,Google Ads,2459,128,4,273.94,1484.31,May,19
2024-05-10,CAMP_001,Google Ads,2352,123,4,262.11,1420.22,May,19
2024-05-11,CAMP_001,Google Ads,3184,167,5,354.69,1921.85,May,19
2024-05-12,CAMP_001,Google Ads,3185,167,5,354.82,1922.58,May,19
2024-05-13,CAMP_001,Google Ads,3276,171,5,365.05,1977.98,May,20
2024-05-14,CAMP_001,Google Ads,3351,175,5,373.33,2022.88,May,20
2024-05-15,CAMP_001,Google Ads,2703,141,4,301.19,1632.0,May,20
2024-05-16,CAMP_001,Google Ads,2687,140,4,299.43,1622.44,May,20
2024-05-17,CAMP_001,Google Ads,3166,166,5,352.7,1911.08,May,20
2024-05-18,CAMP_001,Google Ads,2927,153,5,326.08,1766.82,May,20
2024-05-19,CAMP_001,Google Ads,3010,157,5,335.41,1817.4,May,20
2024-05-20,CAMP_001,Google Ads,3162,165,5,352.25,1908.65,May,21
2024-05-21,CAMP_001,Google Ads,3313,173,5,369.16,2000.28,May,21
2024-05-22,CAMP_001,Google Ads,2424,127,4,270.08,1463.41,May,21
2024-05-23,CAMP_001,Google Ads,2485,130,4,276.83,1499.96,May,21
2024-05-24,CAMP_001,Google Ads,2031,106,3,226.28,1226.08,May,21
2024-05-25,CAMP_001,Google Ads,2811,147,4,313.21,1697.1,May,21
2024-05-26,CAMP_001,Google Ads,1937,101,3,215.86,1169.63,May,21
2024-05-27,CAMP_001,Google Ads,2630,137,4,292.98,1587.51,May,22
2024-05-28,CAMP_001,Google Ads,2754,144,4,306.81,1662.44,May,22
2024-05-29,CAMP_001,Google Ads,2341,122,4,260.84,1413.36,May,22
2024-05-30,CAMP_001,Google Ads,2831,148,4,315.46,1709.31,May,22
2024-05-31,CAMP_001,Google Ads,1929,101,3,214.89,1164.34,May,22
2024-06-01,CAMP_001,Google Ads,1940,101,3,216.11,1171.0,June,22
2024-06-02,CAMP_001,Google Ads,3205,168,5,357.06,1934.72,June,22
2024-06-03,CAMP_001,Google Ads,2460,129,4,274.06,1484.99,June,23
2024-06-04,CAMP_001,Google Ads,2084,109,3,232.22,1258.25,June,23
2024-06-05,CAMP_001,Google Ads,2721,142,4,303.15,1642.6,June,23
2024-06-06,CAMP_001,Google Ads,3120,163,5,347.62,1883.56,June,23
2024-06-07,CAMP_001,Google Ads,2227,116,3,248.15,1344.58,June,23
2024-06-08,CAMP_001,Google Ads,2883,151,5,321.22,1740.49,June,23
2024-06-09,CAMP_001,Google Ads,2017,105,3,224.73,1217.68,June,23
2024-06-10,CAMP_001,Google Ads,1963,102,3,218.69,1184.94,June,24
2024-06-11,CAMP_001,Google Ads,2736,143,4,304.79,1651.46,June,24
2024-06-12,CAMP_001,Google Ads,2750,144,4,306.45,1660.49,June,24
2024-06-13,CAMP_001,Google Ads,2906,152,5,323.83,1754.63,June,24
2024-06-14,CAMP_001,Google Ads,3049,159,5,339.74,1840.86,June,24
2024-06-15,CAMP_001,Google Ads,3452,181,6,384.57,2083.77,June,24
2024-08-04,CAMP_002,Google Ads,3557,147,4,382.07,1839.27,August,31
2024-08-05,CAMP_002,Google Ads,3148,130,4,338.18,1627.97,August,32
2024-08-06,CAMP_002,Google Ads,4146,171,5,445.38,2144.05,August,32
2024-08-07,CAMP_002,Google Ads,3038,126,4,326.34,1571.0,August,32
2024-08-08,CAMP_002,Google Ads,3393,140,4,364.52,1754.76,August,32
2024-08-09,CAMP_002,Google Ads,2631,109,3,282.67,1360.76,August,32
2024-08-10,CAMP_002,Google Ads,2519,104,3,270.61,1302.72,August,32
2024-08-11,CAMP_002,Google Ads,4500,186,6,483.4,2327.07,August,32
2024-08-12,CAMP_002,Google Ads,4232,175,5,454.64,2188.64,August,33
2024-08-13,CAMP_002,Google Ads,3936,163,5,422.86,2035.63,August,33
2024-08-14,CAMP_002,Google Ads,3330,138,4,357.7,1721.95,August,33
2024-08-15,CAMP_002,Google Ads,2832,117,3,304.2,1464.41,August,33
2024-08-16,CAMP_002,Google Ads,2796,115,3,300.37,1445.98,August,33
2024-08-17,CAMP_002,Google Ads,2994,124,4,321.67,1548.5,August,33
2024-08-18,CAMP_002,Google Ads,3626,150,4,389.55,1875.25,August,33
2024-08-19,CAMP_002,Google Ads,3976,164,5,427.09,2055.98,August,34
2024-08-20,CAMP_002,Google Ads,3861,160,5,414.74,1996.53,August,34
2024-08-21,CAMP_002,Google Ads,3057,126,4,328.41,1580.95,August,34
2024-01-14,CAMP_003,Facebook Ads,2088,42,1,43.03,119.37,January,2
2024-01-15,CAMP_003,Facebook Ads,1875,38,0,38.63,107.16,January,3
2024-01-16,CAMP_003,Facebook Ads,1694,34,0,34.91,96.83,January,3
2024-01-17,CAMP_003,Facebook Ads,1750,35,0,36.07,100.06,January,3
2024-01-18,CAMP_003,Facebook Ads,1561,31,0,32.17,89.25,January,3
2024-01-19,CAMP_003,Facebook Ads,1392,28,0,28.69,79.58,January,3
2024-01-20,CAMP_003,Facebook Ads,1499,30,0,30.88,85.67,January,3
2024-01-21,CAMP_003,Facebook Ads,1894,38,0,39.04,108.28,January,3
2024-01-22,CAMP_003,Facebook Ads,1162,23,0,23.96,66.45,January,4
2024-01-23,CAMP_003,Facebook Ads,1262,25,0,26.02,72.17,January,4
