Month,Impressions,Clicks,Conversions,Total_Cost,Total_Revenue,Monthly_ROAS
2024-01,402225,24977,679,2261.01,8176.55,3.62
2024-02,957827,83991,3508,18803.49,65079.74,3.46
2024-03,888448,54228,1563,31079.4,119724.66,3.85
2024-04,1005447,62893,2459,37615.9,178722.36,4.75
2024-05,1174992,79810,3988,26080.26,117862.47,4.52
2024-06,1579144,73274,1938,54124.18,188271.56,3.48
2024-07,1073850,59118,2668,18139.95,64841.09,3.57
2024-08,898015,64986,3802,25514.36,92466.11,3.62
2024-09,812385,75887,4669,17051.06,61200.19,3.59
2024-10,1352908,111725,5643,22371.93,84287.19,3.77
2024-11,1357394,93736,3467,27375.51,100718.19,3.68
2024-12,967588,67216,2406,29986.51,112757.38,3.76
